team_id,team_name,conference,wins,losses,win_pct,avg_home_attendance,num_home_games,Logo Id,Color,AlternateColor,city,Location State,Location Latitude,Location Longitude,Location Capacity
418,Michigan,Big Ten,12,2,0.857,108763.0,7,130,#00274c,#ffcb05,Ann Arbor,MI,42.2658365,-83.7486956,107601
539,Penn State,Big Ten,7,6,0.538,106799.0,7,213,#041E42,#FFFFFF,University Park,PA,40.8121958,-77.8561023,106572
697,Texas A&M,SEC,8,4,0.667,102883.0,7,245,#500000,#ffffff,College Station,TX,30.6098891,-96.3403828,102733
8,Alabama,SEC,13,2,0.867,98720.0,7,333,#9e1632,#ffffff,Tuscaloosa,AL,33.2082752,-87.5503836,101821
518,Ohio State,Big Ten,11,2,0.846,96756.0,7,194,#ce1141,#505056,Columbus,OH,40.0016447,-83.0197266,102780
365,LSU,SEC,6,7,0.462,94808.0,7,99,#461d7c,#fdd023,Baton Rouge,LA,30.412035,-91.1838163,102321
257,Georgia,SEC,14,1,0.933,92746.0,6,61,#ba0c2f,#ffffff,Athens,GA,33.9498197,-83.3733813,92746
703,Texas,Big 12,5,7,0.417,91938.0,6,251,#c15d26,#ffffff,Austin,TX,30.2836813,-97.7325345,100119
694,Tennessee,SEC,7,6,0.538,86386.0,8,2633,#ff8200,#58595b,Knoxville,TN,35.9550131,-83.9250128,102455
463,Nebraska,Big Ten,3,9,0.25,86173.0,7,158,#d00000,#ffffff,Lincoln,NE,40.820682,-96.705594,85458
37,Auburn,SEC,6,7,0.462,86146.0,7,2,#002b5c,#f26522,Auburn,AL,32.6025532,-85.4897479,87451
235,Florida,SEC,6,7,0.462,85175.0,6,57,#0021a5,#fa4616,Gainesville,FL,29.6499357,-82.3485788,88548
147,Clemson,ACC,10,3,0.769,79489.0,6,228,#f56600,#522d80,Clemson,SC,34.6787737,-82.8432428,81500
522,Oklahoma,Big 12,11,2,0.846,77795.0,7,201,#a32036,#ffffff,Norman,OK,35.2058537,-97.4423145,86112
796,Wisconsin,Big Ten,9,4,0.692,73466.0,7,275,#c4012f,#ffffff,Madison,WI,43.06994,-89.4126943,80321
513,Notre Dame,Independent,11,2,0.846,72817.0,7,87,#0c2340,#c99700,Notre Dame,IN,41.698378,-86.2339425,80795
416,Michigan State,Big Ten,11,2,0.846,70135.0,6,127,#18453b,#ffffff,East Lansing,MI,42.7281474,-84.4848526,75005
648,South Carolina,SEC,7,6,0.538,69734.0,7,2579,#73000a,#ffffff,Columbia,SC,33.9730239,-81.0191726,80250
312,Iowa,Big Ten,10,4,0.714,66777.0,7,2294,#000000,#FFCD00,Iowa City,IA,41.6586045,-91.5510829,69250
31,Arkansas,SEC,9,4,0.692,65284.0,7,8,#a41f35,#ffffff,Fayetteville,AR,36.0680662,-94.1789534,80000
77,BYU,Independent,10,3,0.769,61647.0,6,252,#003da5,#ffffff,Provo,UT,40.2575347,-111.6545247,63470
756,Washington,Pac-12,4,8,0.333,61615.0,7,264,#33006f,#e8d3a2,Seattle,WA,47.6503235,-122.3015746,70138
311,Iowa State,Big 12,7,6,0.538,60704.0,6,66,#822433,#fdca2f,Ames,IA,42.0139977,-93.6357716,61500
742,Virginia Tech,ACC,6,7,0.462,58729.0,7,259,#630031,#cf4520,Blacksburg,VA,37.2199873,-80.4180643,65632
234,Florida State,ACC,5,7,0.417,58679.0,7,52,#782f40,#ceb888,Tallahassee,FL,30.4381692,-84.3044032,67277
433,Ole Miss,SEC,10,3,0.769,56472.0,7,145,#13294b,#c8102e,Oxford,MS,34.3619837,-89.5342076,64038
559,Purdue,Big Ten,9,4,0.692,56332.0,6,2509,#000000,#ceb888,West Lafayette,IN,40.4352253,-86.9186843,57282
334,Kentucky,SEC,10,3,0.769,56301.0,7,96,#0033a0,#ffffff,Lexington,KY,38.0220905,-84.5053408,61000
657,USC,Pac-12,4,8,0.333,56215.0,7,30,#9e2237,#ffcc00,Los Angeles,CA,34.014167,-118.287778,77500
490,NC State,ACC,9,3,0.75,54523.0,7,152,#cc0000,#ffffff,Raleigh,NC,35.8008001,-78.7195655,58000
521,Oklahoma State,Big 12,12,2,0.857,53012.0,7,197,#FF7300,#000000,Stillwater,OK,36.125673,-97.066513,55509
700,Texas Tech,Big 12,7,6,0.538,52402.0,6,2641,#CC0000,#000000,Lubbock,TX,33.5910518,-101.8728824,60454
732,Utah,Pac-12,10,4,0.714,51817.0,6,254,#ea002a,#ffffff,Salt Lake City,UT,40.7599724,-111.8488255,51444
768,West Virginia,Big 12,6,7,0.462,51583.0,6,277,#002855,#eaaa00,Morgantown,WV,39.6502744,-79.9551873,60000
430,Mississippi State,SEC,7,6,0.538,49494.0,7,344,#5d1725,#c1c6c8,Starkville,MS,33.4563403,-88.7933652,61337
529,Oregon,Pac-12,10,4,0.714,49468.0,7,2483,#007030,#fee11a,Eugene,OR,44.0582712,-123.0684883,54000
457,North Carolina,ACC,6,7,0.462,47947.0,7,153,#7bafd4,#13294b,Chapel Hill,NC,35.9069294,-79.0478889,50500
28,Arizona State,Pac-12,8,5,0.615,47248.0,7,9,#8e0c3a,#ffc72c,Tempe,AZ,33.4264471,-111.9325005,65870
306,Indiana,Big Ten,2,10,0.167,46925.0,6,84,#990000,#edebeb,Bloomington,IN,39.1808959,-86.5256217,52656
434,Missouri,SEC,6,7,0.462,46516.0,7,142,#f1b82d,#000000,Columbia,MO,38.9358491,-92.3332009,71168
157,Colorado,Pac-12,4,8,0.333,46484.0,6,38,#CFB87C,#000000,Boulder,CO,40.0094746,-105.266905,50183
