team_id,team_name,conference,wins,losses,win_pct,avg_home_attendance,num_home_games
418,Michigan,Big Ten Conference,12,2,0.857,108763.0,7
539,Penn State,Big Ten Conference,7,6,0.538,106799.0,7
697,Texas A&M,Southeastern Conference,8,4,0.667,102883.0,7
8,Alabama,Southeastern Conference,13,2,0.867,98720.0,7
518,Ohio State,Big Ten Conference,11,2,0.846,96756.0,7
365,LSU,Southeastern Conference,6,7,0.462,94808.0,7
257,Georgia,Southeastern Conference,14,1,0.933,92746.0,6
703,Texas,Big 12 Conference,5,7,0.417,91938.0,6
694,Tennessee,Southeastern Conference,7,6,0.538,86386.0,8
463,Nebraska,Big Ten Conference,3,9,0.25,86173.0,7
37,Auburn,Southeastern Conference,6,7,0.462,86146.0,7
235,Florida,Southeastern Conference,6,7,0.462,85175.0,6
147,Clemson,Atlantic Coast Conference,10,3,0.769,79489.0,6
522,Oklahoma,Big 12 Conference,11,2,0.846,77795.0,7
796,Wisconsin,Big Ten Conference,9,4,0.692,73466.0,7
513,Notre Dame,FBS Independents,11,2,0.846,72817.0,7
416,Michigan State,Big Ten Conference,11,2,0.846,70135.0,6
648,South Carolina,Southeastern Conference,7,6,0.538,69734.0,7
312,Iowa,Big Ten Conference,10,4,0.714,66777.0,7
31,Arkansas,Southeastern Conference,9,4,0.692,65284.0,7
77,BYU,FBS Independents,10,3,0.769,61647.0,6
756,Washington,Pac-12 Conference,4,8,0.333,61615.0,7
311,Iowa State,Big 12 Conference,7,6,0.538,60704.0,6
742,Virginia Tech,Atlantic Coast Conference,6,7,0.462,58729.0,7
234,Florida State,Atlantic Coast Conference,5,7,0.417,58679.0,7
433,Ole Miss,Southeastern Conference,10,3,0.769,56472.0,7
559,Purdue,Big Ten Conference,9,4,0.692,56332.0,6
334,Kentucky,Southeastern Conference,10,3,0.769,56301.0,7
657,USC,Pac-12 Conference,4,8,0.333,56215.0,7
490,NC State,Atlantic Coast Conference,9,3,0.75,54523.0,7
521,Oklahoma State,Big 12 Conference,12,2,0.857,53012.0,7
700,Texas Tech,Big 12 Conference,7,6,0.538,52402.0,6
732,Utah,Pac-12 Conference,10,4,0.714,51817.0,6
768,West Virginia,Big 12 Conference,6,7,0.462,51583.0,6
430,Mississippi State,Southeastern Conference,7,6,0.538,49494.0,7
529,Oregon,Pac-12 Conference,10,4,0.714,49468.0,7
457,North Carolina,Atlantic Coast Conference,6,7,0.462,47947.0,7
28,Arizona State,Pac-12 Conference,8,5,0.615,47248.0,7
306,Indiana,Big Ten Conference,2,10,0.167,46925.0,6
434,Missouri,Southeastern Conference,6,7,0.462,46516.0,7
157,Colorado,Pac-12 Conference,4,8,0.333,46484.0,6
327,Kansas State,Big 12 Conference,8,5,0.615,46368.0,7
428,Minnesota,Big Ten Conference,9,4,0.692,46140.0,7
110,UCLA,Pac-12 Conference,8,4,0.667,45818.0,7
545,Pittsburgh,Atlantic Coast Conference,11,3,0.786,45365.0,7
51,Baylor,Big 12 Conference,12,2,0.857,44729.0,7
587,Rutgers,Big Ten Conference,5,8,0.385,44630.0,6
367,Louisville,Atlantic Coast Conference,6,7,0.462,43966.0,7
415,Miami (FL),Atlantic Coast Conference,7,5,0.583,43698.0,7
746,Virginia,Atlantic Coast Conference,6,6,0.5,42439.0,7
128,UCF,American Athletic Conference,9,4,0.692,40427.0,7
