team_name,conference,wins,losses,win_pct,avg_home_attendance,num_home_games,logo_id,color,alternatecolor,city,location_latitude,location_longitude,location_capacity,state_abbr,enrollment_men,enrollment_women,enrollment_total
Akron,MAC,2,10,0.167,10194.0,6,2006,#00285e,#84754e,Akron,41.0725534,-81.5083408,30000,OH,4940.0,4327.0,9267.0
Alabama,SEC,13,2,0.867,98720.0,7,333,#9e1632,#ffffff,Tuscaloosa,33.2082752,-87.5503836,101821,AL,12366.0,15708.0,28074.0
Appalachian State,Sun Belt,10,4,0.714,29389.0,6,2026,#ffcc00,#222222,Boone,36.2114267,-81.6854278,30000,NC,7505.0,9876.0,17381.0
Arizona,Pac-12,1,11,0.083,34900.0,6,12,#0c234b,#ab0520,Tucson,32.2288054,-110.9488677,50782,AZ,12749.0,16691.0,29440.0
Arizona State,Pac-12,8,5,0.615,47248.0,7,9,#8e0c3a,#ffc72c,Tempe,33.4264471,-111.9325005,65870,AZ,29322.0,29671.0,58993.0
Arkansas,SEC,9,4,0.692,65284.0,7,8,#a41f35,#ffffff,Fayetteville,36.0680662,-94.1789534,80000,AR,9427.0,12027.0,21454.0
Arkansas State,Sun Belt,2,10,0.167,11211.0,6,2032,#e81018,#000000,Jonesboro,35.8488977,-90.6677436,30382,AR,2173.0,3182.0,5355.0
Auburn,SEC,6,7,0.462,86146.0,7,2,#002b5c,#f26522,Auburn,32.6025532,-85.4897479,87451,AL,11290.0,11384.0,22674.0
BYU,Independent,10,3,0.769,61647.0,6,252,#003da5,#ffffff,Provo,40.2575347,-111.6545247,63470,UT,13739.0,14543.0,28282.0
Ball State,MAC,6,7,0.462,11530.0,6,2050,#DA0000,#ffffff,Muncie,40.2159422,-85.4161148,22500,IN,5051.0,7986.0,13037.0
Baylor,Big 12,12,2,0.857,44729.0,7,239,#154734,#ffb81c,Waco,31.5582015,-97.1156702,45140,TX,5906.0,8935.0,14841.0
Boise State,Mountain West,7,5,0.583,34681.0,6,68,#0033a0,#fa4616,Boise,43.6028839,-116.1958882,36387,ID,5713.0,7521.0,13234.0
Boston College,ACC,6,6,0.5,34782.0,6,103,#8c2232,#dbcca6,Chestnut Hill,42.335104,-71.1664413,44500,MA,4532.0,5126.0,9658.0
