inst_name,state_abbr,city,county_name,enrollment_men,enrollment_women,enrollment_total,ath_classification_code
Alabama A & M University,AL,Normal,Madison County,1823.0,2706.0,4529.0,2.0
University of Alabama at Birmingham,AL,Birmingham,Jefferson County,3924.0,6442.0,10366.0,1.0
Amridge University,AL,Montgomery,Montgomery County,,,,
University of Alabama in Huntsville,AL,Huntsville,Madison County,3726.0,2491.0,6217.0,5.0
Alabama State University,AL,Montgomery,Montgomery County,1053.0,2002.0,3055.0,2.0
University of Alabama System Office,AL,Tuscaloosa,Tuscaloosa County,,,,
The University of Alabama,AL,Tuscaloosa,Tuscaloosa County,12366.0,15708.0,28074.0,1.0
Central Alabama Community College,AL,Alexander City,Tallapoosa County,233.0,257.0,490.0,12.0
Athens State University,AL,Athens,Limestone County,,,,
Auburn University at Montgomery,AL,Montgomery,Montgomery County,979.0,1933.0,2912.0,5.0
Auburn University,AL,Auburn,Lee County,11290.0,11384.0,22674.0,1.0
Birmingham-Southern College,AL,Birmingham,Jefferson County,504.0,535.0,1039.0,6.0
Chattahoochee Valley Community College,AL,Phenix City,Russell County,180.0,290.0,470.0,12.0
South University-Montgomery,AL,Montgomery,Montgomery County,,,,
Enterprise State Community College,AL,Enterprise,Coffee County,477.0,400.0,877.0,12.0
Coastal Alabama Community College,AL,Bay Minette,Baldwin County,1110.0,1687.0,2797.0,12.0
Faulkner University,AL,Montgomery,Montgomery County,580.0,722.0,1302.0,9.0
Gadsden State Community College,AL,Gadsden,Etowah County,832.0,1002.0,1834.0,12.0
New Beginning College of Cosmetology,AL,Albertville,Marshall County,,,,
George C Wallace Community College-Dothan,AL,Dothan,Dale County,422.0,870.0,1292.0,12.0
George C Wallace State Community College-Hanceville,AL,Hanceville,Cullman County,869.0,1423.0,2292.0,12.0
George C Wallace State Community College-Selma,AL,Selma,Dallas County,236.0,242.0,478.0,12.0
Herzing University-Birmingham,AL,Birmingham,Jefferson County,,,,
Huntingdon College,AL,Montgomery,Montgomery County,451.0,341.0,792.0,6.0
Heritage Christian University,AL,Florence,Lauderdale County,,,,
J. F. Drake State Community and Technical College,AL,Huntsville,Madison County,,,,
J F Ingram State Technical College,AL,Deatsville,Elmore County,,,,
Jacksonville State University,AL,Jacksonville,Calhoun County,2395.0,3716.0,6111.0,2.0
Jefferson State Community College,AL,Birmingham,Jefferson County,876.0,1345.0,2221.0,12.0
John C Calhoun State Community College,AL,Tanner,Limestone County,1144.0,1335.0,2479.0,12.0
Judson College,AL,Marion,Perry County,,,,
Lawson State Community College,AL,Birmingham,Jefferson County,454.0,757.0,1211.0,12.0
University of West Alabama,AL,Livingston,Sumter County,508.0,1246.0,1754.0,4.0
Lurleen B Wallace Community College,AL,Andalusia,Covington County,294.0,456.0,750.0,12.0
Marion Military Institute,AL,Marion,Perry County,232.0,82.0,314.0,12.0
Miles College,AL,Fairfield,Jefferson County,651.0,770.0,1421.0,4.0
University of Mobile,AL,Mobile,Mobile County,362.0,683.0,1045.0,9.0
University of Montevallo,AL,Montevallo,Shelby County,710.0,1250.0,1960.0,5.0
Northwest-Shoals Community College,AL,Muscle Shoals,Colbert County,,,,
University of North Alabama,AL,Florence,Lauderdale County,1607.0,2873.0,4480.0,2.0
Northeast Alabama Community College,AL,Rainsville,Jackson County,295.0,539.0,834.0,12.0
Oakwood University,AL,Huntsville,Madison County,543.0,712.0,1255.0,20.0
Reid State Technical College,AL,Evergreen,Conecuh County,,,,
Bishop State Community College,AL,Mobile,Mobile County,373.0,513.0,886.0,12.0
Samford University,AL,Birmingham,Jefferson County,1185.0,2364.0,3549.0,2.0
Selma University,AL,Selma,Dallas County,,,,
Shelton State Community College,AL,Tuscaloosa,Tuscaloosa County,766.0,889.0,1655.0,12.0
Snead State Community College,AL,Boaz,Marshall County,384.0,591.0,975.0,12.0
University of South Alabama,AL,Mobile,Mobile County,2785.0,4604.0,7389.0,1.0
Spring Hill College,AL,Mobile,Mobile County,393.0,555.0,948.0,5.0
Stillman College,AL,Tuscaloosa,Tuscaloosa County,261.0,375.0,636.0,9.0
Talladega College,AL,Talladega,Talladega County,502.0,502.0,1004.0,9.0
H Councill Trenholm State Community College,AL,Montgomery,Montgomery County,,,,
Troy University,AL,Troy,Pike County,2625.0,4776.0,7401.0,1.0
Tuskegee University,AL,Tuskegee,Macon County,770.0,1298.0,2068.0,4.0
United States Sports Academy,AL,Daphne,Baldwin County,,,,
Bevill State Community College,AL,Jasper,Walker County,448.0,598.0,1046.0,12.0
University of Alaska Anchorage,AK,Anchorage,Anchorage Municipality,1653.0,2051.0,3704.0,5.0
Alaska Bible College,AK,Palmer,Matanuska-Susitna Borough,,,,
University of Alaska Fairbanks,AK,Fairbanks,Fairbanks North Star Borough,1101.0,1163.0,2264.0,5.0
University of Alaska Southeast,AK,Juneau,Juneau City and Borough,,,,
Alaska Pacific University,AK,Anchorage,Anchorage Municipality,,,,
Alaska Vocational Technical Center,AK,Seward,Kenai Peninsula Borough,,,,
Charter College,WA,Vancouver,Clark County,,,,
Alaska Career College,AK,Anchorage,Anchorage Municipality,,,,
University of Alaska System of Higher Education,AK,Fairbanks,Fairbanks North Star Borough,,,,
Empire Beauty School-Tucson,AZ,Tucson,Pima County,,,,
Carrington College-Phoenix North,AZ,Phoenix,Maricopa County,,,,
Carrington College-Mesa,AZ,Mesa,Maricopa County,,,,
Carrington College-Tucson,AZ,Tucson,Pima County,,,,
Arizona Academy of Beauty,AZ,Tucson,Pima County,,,,
Miller-Motte College-Arizona Automotive Institute,AZ,Glendale,Maricopa County,,,,
Brookline College-Phoenix,AZ,Phoenix,Maricopa County,,,,
Arizona State University Campus Immersion,AZ,Tempe,Maricopa County,29322.0,29671.0,58993.0,1.0
Arizona Western College,AZ,Yuma,Yuma County,855.0,1098.0,1953.0,12.0
University of Arizona,AZ,Tucson,Pima County,12749.0,16691.0,29440.0,1.0
Southwest University of Visual Arts-Tucson,AZ,Tucson,Pima County,,,,
Central Arizona College,AZ,Coolidge,Pinal County,457.0,571.0,1028.0,12.0
Charles of Italy Beauty College,AZ,Lake Havasu City,Mohave County,,,,
Cochise County Community College District,AZ,Sierra Vista,Cochise County,515.0,830.0,1345.0,12.0
Empire Beauty School-Chandler,AZ,Chandler,Maricopa County,,,,
Avalon Institute-Mesa,AZ,Mesa,Maricopa County,,,,
Eastern Arizona College,AZ,Thatcher,Graham County,526.0,638.0,1164.0,12.0
Embry-Riddle Aeronautical University-Prescott,AZ,Prescott,Yavapai County,2110.0,781.0,2891.0,10.0
The School of Architecture,AZ,Paradise Valley,Maricopa County,,,,
Glendale Community College,AZ,Glendale,Maricopa County,1681.0,1781.0,3462.0,13.0
Grand Canyon University,AZ,Phoenix,Maricopa County,8681.0,13609.0,22290.0,3.0
Maricopa Community College System Office,AZ,Tempe,Maricopa County,,,,
GateWay Community College,AZ,Phoenix,Maricopa County,362.0,577.0,939.0,13.0
Mesa Community College,AZ,Mesa,Maricopa County,1926.0,2059.0,3985.0,13.0
Mohave Community College,AZ,Kingman,Mohave County,,,,
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,AZ,Phoenix,Maricopa County,,,,
Dine College,AZ,Tsaile,Apache County,161.0,491.0,652.0,8.0
Northern Arizona University,AZ,Flagstaff,Coconino County,7314.0,12604.0,19918.0,2.0
Northland Pioneer College,AZ,Holbrook,Navajo County,,,,
Ottawa University-Phoenix,AZ,Phoenix,Maricopa County,,,,
Phoenix College,AZ,Phoenix,Maricopa County,740.0,1218.0,1958.0,13.0
Pima Community College,AZ,Tucson,Pima County,1362.0,1596.0,2958.0,13.0
Pima Medical Institute-Tucson,AZ,Tucson,Pima County,,,,
Pima Medical Institute-Albuquerque,NM,Albuquerque,Bernalillo County,,,,
Prescott College,AZ,Prescott,Yavapai County,,,,
Refrigeration School Inc,AZ,Phoenix,Maricopa County,,,,
Rio Salado College,AZ,Tempe,Maricopa County,,,,
Roberto-Venn School of Luthiery,AZ,Phoenix,Maricopa County,,,,
Scottsdale Community College,AZ,Scottsdale,Maricopa County,724.0,796.0,1520.0,13.0
South Mountain Community College,AZ,Phoenix,Maricopa County,379.0,472.0,851.0,13.0
Arizona Christian University,AZ,Glendale,Maricopa County,555.0,321.0,876.0,9.0
Universal Technical Institute of Arizona Inc,AZ,Avondale,Maricopa County,,,,
Empire Beauty School-NW Phoenix,AZ,Phoenix,Maricopa County,,,,
Yavapai College,AZ,Prescott,Yavapai County,601.0,665.0,1266.0,12.0
University of Arkansas at Little Rock,AR,Little Rock,Pulaski County,1175.0,1770.0,2945.0,3.0
University of Arkansas for Medical Sciences,AR,Little Rock,Pulaski County,,,,
Arkansas Baptist College,AR,Little Rock,Pulaski County,267.0,77.0,344.0,9.0
Arkansas Beauty School-Little Rock,AR,Little Rock,Pulaski County,,,,
Arkansas Beauty College,AR,Russellville,Pope County,,,,
Lyon College,AR,Batesville,Independence County,337.0,235.0,572.0,9.0
Arkansas Technical School,AR,North Little Rock,Pulaski County,,,,
Arthur's Beauty College,AR,Fort Smith,Sebastian County,,,,
University of Arkansas,AR,Fayetteville,Washington County,9427.0,12027.0,21454.0,1.0
University of Arkansas at Pine Bluff,AR,Pine Bluff,Jefferson County,855.0,1233.0,2088.0,2.0
Arkansas State University-Beebe,AR,Beebe,White County,,,,
Arkansas State University,AR,Jonesboro,Craighead County,2173.0,3182.0,5355.0,1.0
Arkansas Tech University,AR,Russellville,Pope County,2454.0,2905.0,5359.0,4.0
University of Arkansas at Monticello,AR,Monticello,Drew County,726.0,896.0,1622.0,4.0
Arthur's Beauty College,AR,Jacksonville,Pulaski County,,,,
Baptist Health College Little Rock,AR,Little Rock,Pulaski County,,,,
Black River Technical College,AR,Pocahontas,Randolph County,,,,
University of Central Arkansas,AR,Conway,Faulkner County,2591.0,4196.0,6787.0,2.0
Central Baptist College,AR,Conway,Faulkner County,280.0,217.0,497.0,9.0
Cossatot Community College of the University of Arkansas,AR,De Queen,Sevier County,170.0,282.0,452.0,13.0
Crowley's Ridge College,AR,Paragould,Greene County,95.0,75.0,170.0,9.0
East Arkansas Community College,AR,Forrest City,St. Francis County,,,,
Eastern College of Health Vocations-Little Rock,AR,Little Rock,Pulaski County,,,,
Paul Mitchell the School-Little Rock,AR,North Little Rock,Pulaski County,,,,
National Park College,AR,Hot Springs,Garland County,502.0,708.0,1210.0,13.0
University of Arkansas Community College-Batesville,AR,Batesville,Independence County,,,,
Harding University,AR,Searcy,White County,1334.0,1737.0,3071.0,4.0
Henderson State University,AR,Arkadelphia,Clark County,952.0,1040.0,1992.0,4.0
Hendrix College,AR,Conway,Faulkner County,536.0,562.0,1098.0,6.0
Hot Springs Beauty College,AR,Hot Springs,Garland County,,,,
Jefferson Regional Medical Center School of Nursing,AR,Pine Bluff,Jefferson County,,,,
John Brown University,AR,Siloam Springs,Benton County,524.0,760.0,1284.0,9.0
Career Academy of Hair Design,AR,Springdale,Washington County,,,,
Academy of Salon and Spa,AR,Fort Smith,Sebastian County,,,,
Arkansas State University Mid-South,AR,West Memphis,Crittenden County,53.0,173.0,226.0,13.0
Arkansas Northeastern College,AR,Blytheville,Mississippi County,,,,
New Tyler Barber College Inc,AR,North Little Rock,Pulaski County,,,,
North Arkansas College,AR,Harrison,Boone County,312.0,414.0,726.0,13.0
Northwest Technical Institute,AR,Springdale,Washington County,,,,
